id	gene	deltaPSI	deltaPSIc	z	p	q
chr5_93987407_93987550_+	ANKRD32	-0.02	-0.005	-0.05	0.32	0
chr5_93988977_93989126_+	ANKRD32	-0.08	-0.065	-0.85	0.7	0
chr20_508577_508693_-	CSNK2A1	0.07	0.075	1.03	0.82	0
chr1_40211086_40211170_+	PPIE	-0.1	-0.095	-1.26	0.98	0
chr5_36674151_36674193_+	SLC1A3	-0.04	-0.035	-0.45	0.49	0
chr11_71808473_71808960_-	LAMTOR1	0.03	0.035	0.49	0.51	0
chr14_37969113_37969343_+	MIPOL1	0.05	0.055	0.76	0.65	0
chr20_33530291_33530430_-	GSS	-0.03	-0.025	-0.32	0.43	0
chr12_121132898_121132955_+	MLEC	-0.01	-0.005	-0.05	0.32	0
chr1_40312953_40312969_-	TRIT1	-0.02	-0.005	-0.05	0.32	0
chr11_34981967_34982065_+	PDHX	0.01	0.015	0.22	0.38	0
chr12_58340778_58340859_+	XRCC6BP1	-0.03	-0.025	-0.32	0.43	0
chr11_34988187_34988361_+	PDHX	0.01	0.015	0.22	0.38	0
chrX_38134342_38134399_-	RPGR	-0.06	-0.055	-0.72	0.63	0
chr17_44707777_44707816_+	NSF	-0.19	-0.185	-2.47	2.17	0.35
chr12_62728947_62730471_+	USP15	-0.02	-0.005	-0.05	0.32	0
chr16_29870049_29870655_-	CDIPT	-0.07	-0.065	-0.85	0.7	0
chr1_40322949_40323089_-	TRIT1	-0.05	-0.035	-0.45	0.49	0
chr16_66597025_66597120_+	CKLF-CMTM1	0.06	0.055	0.76	0.65	0
chr19_4688769_4688815_-	DPP9	0.06	0.065	0.9	0.74	0
chr10_27458873_27460012_+	MASTL	0.02	0.025	0.36	0.44	0
chr1_156244388_156244477_-	SMG5	0.04	0.045	0.63	0.58	0
chr19_4689582_4689734_-	DPP9	0.08	0.085	1.17	0.92	0
chr15_76171439_76171529_+	UBE2Q2	-0.06	-0.055	-0.72	0.63	0
chr16_66776341_66776571_-	DYNC1LI2	0.02	0.025	0.36	0.44	0
chr7_87507368_87507540_+	DBF4	-0.02	-0.015	-0.18	0.37	0
chr20_21346211_21346342_+	XRN2	0.02	0.025	0.36	0.44	0
chr19_4695390_4695567_-	DPP9	0.01	0.015	0.22	0.38	0
chr17_44803922_44803981_+	NSF	-0.16	-0.155	-2.07	1.72	0.11
chr5_95997941_95998201_+	CAST	-0.03	-0.025	-0.32	0.43	0
chr13_115064315_115064475_+	UPF3A	-0.05	-0.045	-0.58	0.55	0
chr11_73587524_73587620_-	COA4	0.02	0.025	0.36	0.44	0
chr2_64068844_64069338_+	UGP2	0.08	0.085	1.17	0.92	0
chr12_6603265_6603320_+	NCAPD2	-0.04	-0.035	-0.45	0.49	0
chr17_34748489_34748588_-	TBC1D3H	0.02	0.045	0.63	0.58	0
chr1_70736539_70736639_-	ANKRD13C	-0.12	-0.105	-1.39	1.08	0
chr11_4126836_4126921_+	RRM1	0.02	0.025	0.36	0.44	0
chr1_202933740_202933823_-	CYB5R1	-0.02	-0.015	-0.18	0.37	0
chr1_202976902_202976991_+	TMEM183A	-0.01	-0.005	-0.05	0.32	0
chr21_40765092_40765206_+	WRB	0.12	0.125	1.71	1.36	0
chr17_5384421_5384462_-	DERL2	0.09	0.105	1.44	1.13	0
chr1_179852749_179852913_+	TOR1AIP1	0.04	0.055	0.76	0.65	0
chr3_56597712_56598153_+	CCDC66	0.05	0.065	0.9	0.74	0
chr15_30431261_30431299_+	GOLGA8T	-0.02	-0.015	-0.18	0.37	0
chr1_148009344_148009516_-	NBPF14	-0.04	-0.035	-0.45	0.49	0
chr17_45000504_45000587_+	GOSR2	-0.24	-0.225	-3.01	2.88	0.75
chr13_20411593_20411961_-	ZMYM5	0.06	0.075	1.03	0.82	0
chr16_67487447_67487618_-	ATP6V0D1	-0.07	-0.065	-0.85	0.7	0
chr14_65541845_65543381_-	MAX	0.01	0.025	0.36	0.44	0
chr1_1577267_1577362_-	CDK11B	-0.02	-0.015	-0.18	0.37	0
chr1_1577747_1577869_-	CDK11B	-0.03	-0.025	-0.32	0.43	0
chr11_43772461_43772507_+	HSD17B12	-0.02	-0.015	-0.18	0.37	0
chr1_75190395_75190518_-	CRYZ	0.07	0.075	1.03	0.82	0
chr15_77150150_77150220_-	SCAPER	-0.06	-0.045	-0.58	0.55	0
chr11_43905533_43905567_+	ALKBH3	-0.07	-0.065	-0.85	0.7	0
chr14_65544005_65544146_-	MAX	-0.02	-0.005	-0.05	0.32	0
chr14_65544046_65544146_-	MAX	-0.02	-0.005	-0.05	0.32	0
chr7_92935140_92935316_+	CCDC132	-0.07	-0.055	-0.72	0.63	0
chr1_42925274_42925752_+	PPCS	0.01	0.015	0.22	0.38	0
chr14_65568264_65568290_-	MAX	0.14	0.155	2.11	1.76	0.12
chr17_80416630_80416706_+	NARF	-0.07	-0.065	-0.85	0.7	0
chr12_6839835_6839986_+	COPS7A	-0.01	-0.005	-0.05	0.32	0
chr11_77036373_77036421_-	PAK1	0.04	0.035	0.49	0.51	0
chr19_19035042_19035117_+	DDX49	-0.05	-0.045	-0.58	0.55	0
chr13_100909849_100909927_+	PCCA	-0.12	-0.115	-1.53	1.2	0
chr17_80553658_80554067_+	FOXK2	0.01	0.015	0.22	0.38	0
chr12_14587274_14587357_+	ATF7IP	-0.05	-0.035	-0.45	0.49	0
chr15_78453923_78453975_+	IDH3A	0.04	0.045	0.63	0.58	0
chr1_160213750_160213824_-	DCAF8	0.1	0.105	1.44	1.13	0
chr11_113723223_113723355_-	USP28	0.02	0.035	0.49	0.51	0
chr14_68112360_68112519_+	ARG2	-0.08	-0.075	-0.99	0.79	0
chr5_131915009_131915194_+	RAD50	-0.09	-0.085	-1.12	0.88	0
chr13_21746759_21746820_-	SKA3	-0.01	0.005	0.09	0.33	0
chr3_57616076_57616250_-	DENND6A	-0.24	-0.225	-3.01	2.88	0.75
chr12_69114916_69114957_+	NUP107	0.02	0.025	0.36	0.44	0
chr19_37838092_37838218_+	HKR1	0.12	0.125	1.71	1.36	0
chr5_132335824_132335865_-	ZCCHC10	-0.03	-0.025	-0.32	0.43	0
chr16_68349800_68349977_+	PRMT7	-0.02	-0.015	-0.18	0.37	0
chr15_59182480_59182660_-	SLTM	-0.12	-0.115	-1.53	1.2	0
chr2_70030525_70030647_+	ANXA4	0.01	0.025	0.36	0.44	0
chr3_107769425_107769449_-	CD47	-0.01	-0.005	-0.05	0.32	0
chr1_160279982_160280048_-	COPA	-0.03	-0.025	-0.32	0.43	0
chr10_34635126_34635377_-	PARD3	0.06	0.065	0.9	0.74	0
chr12_16507165_16507312_+	MGST1	0.06	0.065	0.9	0.74	0
chr6_33248451_33248764_-	WDR46	0.02	0.025	0.36	0.44	0
chr1_148587788_148587951_+	NBPF15	-0.02	-0.015	-0.18	0.37	0
chr3_28373860_28373898_-	AZI2	0.03	0.035	0.49	0.51	0
chr22_29139870_29139911_+	HSCB	0.16	0.175	2.38	2.06	0.27
chr5_68550429_68550496_+	CDK7	-0.03	-0.015	-0.18	0.37	0
chr2_70528540_70528735_-	FAM136A	0.02	0.025	0.36	0.44	0
chr18_66368982_66369027_-	TMX3	-0.3	-0.285	-3.82	4.18	1.64
chr10_35379107_35379292_-	CUL2	-0.12	-0.115	-1.53	1.2	0
chr3_58395817_58395886_+	PXK	0.01	0.015	0.22	0.38	0
chr3_58398628_58398690_+	PXK	0.07	0.075	1.03	0.82	0
chr12_19499928_19500116_+	PLEKHA5	-0.09	-0.085	-1.12	0.88	0
chr13_26795651_26795840_-	RNF6	0.04	0.045	0.63	0.58	0
chr12_69759570_69759664_+	YEATS4	-0.02	-0.015	-0.18	0.37	0
chr10_12162786_12165224_+	DHTKD1	-0.19	-0.185	-2.47	2.17	0.35
chr10_35467800_35467914_+	CREM	0.09	0.095	1.3	1.01	0
chr1_161298186_161298287_+	SDHC	-0.1	-0.095	-1.26	0.98	0
chr2_170605932_170608398_+	KLHL23	-0.05	-0.045	-0.58	0.55	0
chr1_44818522_44818597_-	ERI3	-0.13	-0.125	-1.66	1.31	0
chr18_11862394_11862448_+	GNAL	-0.05	-0.045	-0.58	0.55	0
chr14_102659800_102659812_+	WDR20	0.02	0.025	0.36	0.44	0
chr1_149805701_149806197_+	HIST2H4A	0.06	0.045	0.63	0.58	0
chr14_102659800_102659851_+	WDR20	0.04	0.045	0.63	0.58	0
chr1_243858893_243859018_-	AKT3	0.03	0.035	0.49	0.51	0
chr1_84670162_84670980_+	PRKACB	0.05	0.065	0.9	0.74	0
chr12_21654104_21654149_-	RECQL	0.09	0.095	1.3	1.01	0
chr16_69375083_69375223_+	NIP7	0.03	0.035	0.49	0.51	0
chr12_21660051_21660085_+	GOLT1B	0.06	0.065	0.9	0.74	0
chr12_21660878_21661043_+	GOLT1B	0.05	0.055	0.76	0.65	0
chr16_69400984_69401102_-	TERF2	-0.03	-0.025	-0.32	0.43	0
chr10_35500182_35500326_+	CREM	0.06	0.065	0.9	0.74	0
chr3_69129263_69129304_-	UBA3	-0.02	-0.015	-0.18	0.37	0
chr3_71015041_71015207_-	FOXP1	-0.02	-0.015	-0.18	0.37	0
chr10_35772332_35772406_+	CCNY	-0.07	-0.055	-0.72	0.63	0
chr3_71019887_71019956_-	FOXP1	-0.05	-0.045	-0.58	0.55	0
chr12_22797145_22797521_+	ETNK1	-0.03	-0.025	-0.32	0.43	0
chr5_137281917_137282000_-	FAM13B	-0.11	-0.105	-1.39	1.08	0
chr5_137292166_137292231_-	FAM13B	0.1	0.115	1.57	1.24	0
chr5_137295305_137295452_-	FAM13B	-0.05	-0.045	-0.58	0.55	0
chr20_33104214_33104266_+	DYNLRB1	-0.09	-0.085	-1.12	0.88	0
chr15_64388213_64388371_+	SNX1	-0.04	-0.035	-0.45	0.49	0
chr15_64388225_64388371_+	SNX1	-0.04	-0.035	-0.45	0.49	0
chr1_40218959_40219116_+	PPIE	0.01	0.015	0.22	0.38	0
chr15_90437113_90437574_-	AP3S2	-0.09	-0.085	-1.12	0.88	0
chr20_42295797_42295943_+	MYBL2	-0.01	-0.005	-0.05	0.32	0
chr16_25186258_25186355_+	LCMT1	-0.02	-0.015	-0.18	0.37	0
chr2_61384997_61385147_+	KIAA1841	0.05	0.055	0.76	0.65	0
chr17_46023227_46023355_+	PNPO	0.04	0.045	0.63	0.58	0
chr20_33632308_33632515_-	TRPC4AP	-0.03	-0.015	-0.18	0.37	0
chr1_1640233_1640391_-	CDK11A	-0.02	-0.005	-0.05	0.32	0
chr22_30742373_30742508_-	SF3A1	0.02	0.025	0.36	0.44	0
chr1_150814900_150814944_-	ARNT	-0.03	-0.025	-0.32	0.43	0
chr12_70736049_70736087_+	CNOT2	-0.05	-0.045	-0.58	0.55	0
chr14_74345799_74346008_+	PTGR2	0.03	0.045	0.63	0.58	0
chr13_33101595_33101669_-	N4BP2L2	-0.07	-0.055	-0.72	0.63	0
chr15_83102288_83102375_+	GOLGA6L9	0.03	0.045	0.63	0.58	0
chr19_49949999_49950051_-	PIH1D1	0.06	0.075	1.03	0.82	0
chr12_27133499_27133579_-	TM7SF3	0.1	0.105	1.44	1.13	0
chr4_76416793_76416847_-	RCHY1	-0.02	-0.015	-0.18	0.37	0
chr12_51449618_51449804_+	LETMD1	-0.2	-0.185	-2.47	2.17	0.35
chr2_74652002_74652102_+	WDR54	-0.02	-0.015	-0.18	0.37	0
chr1_1654027_1654073_-	CDK11A	-0.03	-0.015	-0.18	0.37	0
chr19_49952732_49952777_-	PIH1D1	-0.03	-0.015	-0.18	0.37	0
chr12_27148170_27148341_-	TM7SF3	0.08	0.085	1.17	0.92	0
chr19_49952732_49952844_-	PIH1D1	-0.03	-0.015	-0.18	0.37	0
chr13_34410241_34411633_+	RFC3	-0.06	-0.055	-0.72	0.63	0
chr6_109476994_109479691_+	CEP57L1	0.04	0.045	0.63	0.58	0
chr18_9815113_9815219_+	RAB31	-0.02	-0.015	-0.18	0.37	0
chr1_165621215_165621272_+	MGST3	-0.01	-0.005	-0.05	0.32	0
chr12_27179353_27179467_+	MED21	0.02	0.025	0.36	0.44	0
chr16_31046291_31046361_+	STX4	0.02	0.025	0.36	0.44	0
chr16_21417975_21418010_-	NPIPB3	-0.03	-0.025	-0.32	0.43	0
chr16_31104633_31104742_-	VKORC1	-0.02	-0.025	-0.32	0.43	0
chr20_34214485_34214725_-	CPNE1	0.02	0.025	0.36	0.44	0
chr2_220096982_220097084_+	ANKZF1	0.03	0.035	0.49	0.51	0
chr12_27523101_27523163_+	ARNTL2	-0.02	-0.015	-0.18	0.37	0
chr1_165872419_165872516_+	UCK2	-0.06	-0.055	-0.72	0.63	0
chr19_30303876_30303944_+	CCNE1	0.02	0.025	0.36	0.44	0
chr17_66038201_66038325_+	KPNA2	-0.02	-0.015	-0.18	0.37	0
chr11_75111736_75111821_+	RPS3	0.07	0.085	1.17	0.92	0
chr13_36920362_36920420_-	SPG20	0.06	0.065	0.9	0.74	0
chr19_50170276_50170418_+	BCL2L12	0.09	0.095	1.3	1.01	0
chr1_16776620_16776736_+	NECAP2	0.04	0.045	0.63	0.58	0
chr15_83861004_83861060_-	HDGFRP3	0.04	0.045	0.63	0.58	0
chr19_1036129_1036245_+	CNN2	-0.01	-0.005	-0.05	0.32	0
chr1_151316157_151316358_-	RFX5	-0.03	-0.025	-0.32	0.43	0
chr12_76767124_76767213_-	OSBPL8	-0.02	-0.015	-0.18	0.37	0
chr3_123218138_123218487_-	PTPLB	0.01	0.015	0.22	0.38	0
chr13_37569562_37569733_-	ALG5	-0.03	-0.015	-0.18	0.37	0
chr15_84278022_84278218_+	SH3GL3	0.11	0.115	1.57	1.24	0
chr7_56084970_56085072_-	PSPH	-0.09	-0.085	-1.12	0.88	0
chr12_27811749_27811781_+	PPFIBP1	0.04	0.035	0.49	0.51	0
chr14_104151975_104152039_+	KLC1	-0.02	-0.015	-0.18	0.37	0
chr11_8938834_8938914_+	AKIP1	0.03	0.035	0.49	0.51	0
chr11_61204233_61204432_+	SDHAF2	-0.01	-0.005	-0.05	0.32	0
chr19_50340104_50340219_+	MED25	-0.03	-0.025	-0.32	0.43	0
chr1_51267303_51267349_-	FAF1	-0.04	-0.035	-0.45	0.49	0
chr5_139892413_139892508_+	ANKHD1	-0.03	-0.025	-0.32	0.43	0
chr1_219366424_219366593_+	LYPLAL1	-0.24	-0.225	-3.01	2.88	0.75
chr2_37469778_37469836_+	NDUFAF7	0.05	0.065	0.9	0.74	0
chr1_1686813_1686915_-	NADK	-0.03	-0.025	-0.32	0.43	0
chr16_21854707_21854902_-	NPIPB4	-0.01	0.005	0.09	0.33	0
chr12_53839799_53840422_+	PRR13	-0.09	-0.085	-1.12	0.88	0
chr13_37622701_37622736_-	SUPT20H	0.03	0.045	0.63	0.58	0
chr12_80266588_80266718_-	PPP1R12A	-0.03	-0.025	-0.32	0.43	0
chr5_139918944_139919433_+	ANKHD1	-0.05	-0.045	-0.58	0.55	0
chr11_61557188_61557393_-	TMEM258	0.03	0.035	0.49	0.51	0
chr16_71929152_71929492_+	IST1	0.05	0.055	0.76	0.65	0
chr5_139918944_139919441_+	ANKHD1	-0.05	-0.045	-0.58	0.55	0
chr12_28457559_28457644_+	CCDC91	0.05	0.065	0.9	0.74	0
chr14_76524985_76525017_+	IFT43	-0.01	-0.005	-0.05	0.32	0
chr13_40230963_40231027_+	COG6	0.01	0.015	0.22	0.38	0
chr12_28458582_28458739_+	CCDC91	0.04	0.055	0.76	0.65	0
chr3_12546653_12546730_+	TSEN2	0.14	0.155	2.11	1.76	0.12
chr17_19576520_19576588_+	ALDH3A2	0.12	0.125	1.71	1.36	0
chr10_48216428_48216496_+	AGAP9	0.15	0.155	2.11	1.76	0.12
chr1_92789002_92789932_+	RPAP2	-0.14	-0.135	-1.8	1.44	0.01
chr10_48218795_48218863_+	AGAP9	-0.02	-0.005	-0.05	0.32	0
chr1_52195706_52195796_+	OSBPL9	-0.02	-0.015	-0.18	0.37	0
chr3_12574161_12574816_+	TSEN2	0.04	0.045	0.63	0.58	0
chr19_11019226_11019309_+	CARM1	0.04	0.045	0.63	0.58	0
chr1_16905688_16905862_-	NBPF1	-0.19	-0.185	-2.47	2.17	0.35
chr8_98699657_98699833_+	MTDH	-0.02	-0.015	-0.18	0.37	0
chr1_16907240_16907451_-	NBPF1	-0.02	-0.015	-0.18	0.37	0
chr15_89807753_89807838_+	FANCI	-0.01	-0.005	-0.05	0.32	0
chr12_29423345_29423571_+	FAR2	0.03	0.035	0.49	0.51	0
chr12_88524942_88524995_-	CEP290	-0.01	0.005	0.09	0.33	0
chr1_52248231_52248315_+	OSBPL9	-0.02	-0.015	-0.18	0.37	0
chr1_16913545_16913756_-	NBPF1	-0.21	-0.195	-2.61	2.34	0.44
chr15_89817399_89817535_+	FANCI	0.04	0.055	0.76	0.65	0
chr2_232656443_232656496_+	COPS7B	-0.01	-0.005	-0.05	0.32	0
chr19_11259770_11260027_-	SPC24	0.02	0.015	0.22	0.38	0
chr9_135930331_135931148_+	GTF3C5	0.01	0.015	0.22	0.38	0
chr19_11456196_11456304_-	TMEM205	-0.02	-0.015	-0.18	0.37	0
chr12_2981262_2981413_-	FOXM1	-0.06	-0.055	-0.72	0.63	0
chr15_89826367_89826481_+	FANCI	0.01	0.015	0.22	0.38	0
chr16_74683030_74683100_-	RFWD3	-0.13	-0.115	-1.53	1.2	0
chr3_128363378_128363489_-	RPN1	0.04	0.045	0.63	0.58	0
chr9_137020462_137020495_+	WDR5	-0.02	-0.015	-0.18	0.37	0
chr11_62529267_62530338_+	POLR2G	-0.01	-0.005	-0.05	0.32	0
chr12_2994449_2994658_+	RHNO1	0.09	0.095	1.3	1.01	0
chr1_52924008_52924121_-	ZCCHC11	-0.04	-0.035	-0.45	0.49	0
chr17_41107872_41107989_-	AARSD1	-0.23	-0.215	-2.88	2.7	0.67
chr22_39414274_39414931_+	APOBEC3C	-0.21	-0.205	-2.74	2.51	0.53
chr10_51227102_51227153_-	AGAP8	-0.09	-0.075	-0.99	0.79	0
chr13_45556207_45556289_-	NUFIP1	-0.07	-0.065	-0.85	0.7	0
chr13_45603374_45604672_+	GPALPP1	-0.13	-0.115	-1.53	1.2	0
chr1_169394049_169394188_-	CCDC181	0.04	0.045	0.63	0.58	0
chr13_45603374_45606242_+	GPALPP1	-0.13	-0.115	-1.53	1.2	0
chr1_53152508_53153840_-	SELRC1	0.03	0.035	0.49	0.51	0
chr22_39441433_39441547_+	APOBEC3F	-0.11	-0.105	-1.39	1.08	0
chrX_154014489_154014675_-	MPP1	-0.13	-0.125	-1.66	1.31	0
chr4_83966750_83966858_+	COPS4	0.03	0.035	0.49	0.51	0
chr17_73127140_73127200_-	NT5C	0.01	0.015	0.22	0.38	0
chr6_1930337_1930464_-	GMDS	-0.03	-0.025	-0.32	0.43	0
chr1_145341649_145341821_+	NBPF10	-0.03	-0.025	-0.32	0.43	0
chr15_68503601_68503656_-	CLN6	0.12	0.125	1.71	1.36	0
chr13_47263268_47263331_+	LRCH1	-0.08	-0.065	-0.85	0.7	0
chr2_234363003_234363110_+	DGKD	0.02	0.035	0.49	0.51	0
chr10_51565207_51565296_+	NCOA4	-0.31	-0.295	-3.95	4.41	1.81
chr16_25137285_25137447_+	LCMT1	0.08	0.085	1.17	0.92	0
chr3_128877351_128877402_-	ISY1	-0.05	-0.045	-0.58	0.55	0
chr12_95418926_95419031_-	NR2C1	-0.02	-0.015	-0.18	0.37	0
chr13_48575316_48575424_-	SUCLA2	-0.05	-0.045	-0.58	0.55	0
chr3_141671753_141671858_-	TFDP2	-0.11	-0.105	-1.39	1.08	0
chr1_234573021_234573118_-	TARBP1	-0.09	-0.085	-1.12	0.88	0
chr12_108093150_108093211_+	PWP1	0.01	0.015	0.22	0.38	0
chr1_212910985_212912028_-	NSL1	-0.01	-0.005	-0.05	0.32	0
chr10_51582183_51582272_+	NCOA4	-0.17	-0.155	-2.07	1.72	0.11
chr10_51584616_51585463_+	NCOA4	-0.15	-0.135	-1.8	1.44	0.01
chr16_27237047_27237167_-	NSMCE1	0.03	0.035	0.49	0.51	0
chr12_31231397_31231471_+	DDX11	0.01	0.025	0.36	0.44	0
chr17_5302872_5302970_-	NUP88	-0.03	-0.025	-0.32	0.43	0
chr22_41190518_41190584_-	SLC25A17	0.11	0.115	1.57	1.24	0
chr9_106898149_106898341_+	SMC2	0.02	0.025	0.36	0.44	0
chr11_64891974_64892124_+	MRPL49	-0.01	-0.005	-0.05	0.32	0
chr12_31242337_31242552_+	DDX11	-0.04	-0.025	-0.32	0.43	0
chr3_129152905_129152979_-	MBD4	-0.05	-0.045	-0.58	0.55	0
chr11_65055187_65055311_+	POLA2	-0.06	-0.055	-0.72	0.63	0
chr1_10523488_10523677_-	DFFA	-0.02	-0.015	-0.18	0.37	0
chr1_54405658_54405773_-	HSPB11	0.02	0.025	0.36	0.44	0
chr12_31253961_31254064_+	DDX11	0.07	0.075	1.03	0.82	0
chr14_92461696_92461859_-	TRIP11	0.01	0.015	0.22	0.38	0
chr2_238925208_238925275_+	UBE2F	-0.13	-0.125	-1.66	1.31	0
chr6_125622995_125623083_-	HDDC2	-0.02	-0.015	-0.18	0.37	0
chr15_43628824_43628884_+	ADAL	-0.02	-0.005	-0.05	0.32	0
chr15_43639214_43639294_+	ADAL	-0.05	-0.045	-0.58	0.55	0
chr19_44531175_44531301_+	ZNF223	0.02	0.025	0.36	0.44	0
chr10_94399551_94399657_+	KIF11	-0.01	-0.005	-0.05	0.32	0
chr8_125531059_125531122_-	TATDN1	0.01	0.025	0.36	0.44	0
chr9_17273731_17273864_+	CNTLN	-0.05	-0.045	-0.58	0.55	0
chr13_50237193_50237331_-	EBPL	0.06	0.065	0.9	0.74	0
chr11_65653793_65653893_-	FIBP	-0.06	-0.055	-0.72	0.63	0
chr11_65687478_65687512_+	DRAP1	0.03	0.025	0.36	0.44	0
chr19_1273600_1273714_+	CIRBP	-0.02	-0.005	-0.05	0.32	0
chr3_129210984_129211037_+	IFT122	0.15	0.165	2.25	1.91	0.2
chr12_122801296_122801402_-	CLIP1	-0.03	-0.025	-0.32	0.43	0
chr1_54694421_54694499_-	SSBP3	-0.04	-0.035	-0.45	0.49	0
chr19_12759950_12760030_-	MAN2B1	-0.07	-0.065	-0.85	0.7	0
chr4_104054852_104055049_-	CENPE	0.01	0.015	0.22	0.38	0
chr5_179673545_179674510_-	MAPK9	-0.01	-0.005	-0.05	0.32	0
chr17_5384421_5384709_-	DERL2	-0.01	0.005	0.09	0.33	0
chr1_228296656_228296722_-	MRPL55	-0.06	-0.055	-0.72	0.63	0
chr3_48730889_48731673_-	IP6K2	0.13	0.135	1.84	1.48	0.01
chr13_51483814_51484276_+	RNASEH2B	-0.01	-0.005	-0.05	0.32	0
chr13_51483892_51484276_+	RNASEH2B	-0.01	-0.005	-0.05	0.32	0
chr1_110561673_110561741_+	AHCYL1	-0.03	-0.025	-0.32	0.43	0
chr4_106370507_106370528_-	PPA2	-0.06	-0.055	-0.72	0.63	0
chr7_102233441_102233585_-	RASA4	0.02	0.035	0.49	0.51	0
chr12_39069519_39069576_-	CPNE8	0.02	0.025	0.36	0.44	0
chr11_66391685_66392064_+	RBM14	-0.35	-0.325	-4.36	5.19	2.47
chr19_54609660_54609753_+	NDUFA3	-0.03	-0.025	-0.32	0.43	0
chr1_59137542_59137630_-	MYSM1	-0.08	-0.065	-0.85	0.7	0
chr19_12816824_12816923_-	TNPO2	0.15	0.155	2.11	1.76	0.12
chr20_44482562_44482623_-	ACOT8	0.09	0.095	1.3	1.01	0
chr3_132384828_132384917_+	UBA5	-0.04	-0.035	-0.45	0.49	0
chr16_10849578_10849610_+	NUBP1	-0.01	-0.005	-0.05	0.32	0
chr11_66406143_66406364_+	RBM4	-0.27	-0.245	-3.28	3.28	1.04
chr11_31429657_31429877_+	DNAJC24	0.04	0.045	0.63	0.58	0
chr19_55652251_55652290_-	TNNT1	0.04	0.045	0.63	0.58	0
chr17_55334827_55334908_+	MSI2	-0.03	-0.015	-0.18	0.37	0
chr19_13010282_13010760_+	GCDH	0.04	0.035	0.49	0.51	0
chr9_21974677_21975038_-	CDKN2A	-0.06	-0.055	-0.72	0.63	0
chr19_55653225_55653288_-	TNNT1	0.03	0.035	0.49	0.51	0
chr1_112162769_112162969_+	RAP1A	0.02	0.035	0.49	0.51	0
chr13_52715156_52715205_-	NEK3	-0.14	-0.125	-1.66	1.31	0
chr16_85705788_85705915_+	GSE1	0.02	0.025	0.36	0.44	0
chr12_42604350_42604421_-	YAF2	0.03	0.045	0.63	0.58	0
chr12_42604350_42604482_-	YAF2	0.04	0.055	0.76	0.65	0
chr20_45809463_45809584_+	EYA2	0.03	0.035	0.49	0.51	0
chr12_42606246_42606286_-	YAF2	0.01	0.025	0.36	0.44	0
chr10_64943207_64943329_-	JMJD1C	-0.01	-0.005	-0.05	0.32	0
chr3_134251620_134251742_+	CEP63	-0.01	0.005	0.09	0.33	0
chr20_45865070_45865260_-	ZMYND8	0.01	0.015	0.22	0.38	0
chr13_53203354_53203494_+	HNRNPA1L2	0.11	0.125	1.71	1.36	0
chr16_11856527_11856603_-	ZC3H7A	-0.04	-0.025	-0.32	0.43	0
chr3_136019872_136019953_+	PCCB	-0.11	-0.115	-1.53	1.2	0
chr2_24194146_24194284_+	UBXN2A	-0.07	-0.065	-0.85	0.7	0
chr19_1416456_1416554_+	DAZAP1	0.02	0.025	0.36	0.44	0
chr4_110639839_110639915_-	PLA2G12A	-0.07	-0.065	-0.85	0.7	0
chr17_30348024_30349844_+	LRRC37B	-0.11	-0.105	-1.39	1.08	0
chr15_48459546_48459598_-	MYEF2	-0.1	-0.095	-1.26	0.98	0
chr4_39116779_39116950_+	KLHL5	0.05	0.055	0.76	0.65	0
chr1_113159435_113159466_-	ST7L	-0.12	-0.105	-1.39	1.08	0
chr1_113159435_113159517_-	ST7L	-0.09	-0.075	-0.99	0.79	0
chr17_57078959_57079102_-	TRIM37	0.08	0.085	1.17	0.92	0
chr3_137947760_137947852_+	ARMC8	-0.02	-0.015	-0.18	0.37	0
chr13_60407241_60407403_-	DIAPH3	-0.03	-0.025	-0.32	0.43	0
chr17_57092971_57092978_-	TRIM37	-0.02	-0.005	-0.05	0.32	0
chr13_60413456_60413582_-	DIAPH3	-0.02	-0.015	-0.18	0.37	0
chr1_65272889_65273157_+	RAVER2	0.01	0.015	0.22	0.38	0
chr3_138251356_138251412_-	CEP70	-0.06	-0.055	-0.72	0.63	0
chr11_67828960_67829297_-	CHKA	0.05	0.065	0.9	0.74	0
chr3_50137965_50138038_+	RBM5	-0.1	-0.075	-0.99	0.79	0
chr12_46315831_46315977_-	SCAF11	0.01	0.015	0.22	0.38	0
chr16_8898624_8898700_+	PMM2	-0.03	-0.025	-0.32	0.43	0
chr16_8900173_8900264_+	PMM2	0.02	0.025	0.36	0.44	0
chr3_138291701_138291756_-	CEP70	-0.08	-0.075	-0.99	0.79	0
chr3_138291701_138291774_-	CEP70	-0.04	-0.035	-0.45	0.49	0
chr19_579500_579656_+	BSG	-0.02	-0.015	-0.18	0.37	0
chr22_45571775_45571961_+	NUP50	0.2	0.215	2.92	2.76	0.67
chr16_89379725_89379997_-	ANKRD11	0.03	0.035	0.49	0.51	0
chr11_33129449_33129546_-	CSTF3	-0.06	-0.045	-0.58	0.55	0
chr8_141889540_141889736_-	PTK2	-0.1	-0.085	-1.12	0.88	0
chr13_73309098_73309143_+	BORA	-0.09	-0.075	-0.99	0.79	0
chr15_101910540_101910728_-	PCSK6	-0.04	-0.035	-0.45	0.49	0
chr13_73357561_73357859_+	PIBF1	-0.03	-0.015	-0.18	0.37	0
chr12_4716493_4716553_+	DYRK4	0.07	0.075	1.03	0.82	0
